countryname	ISOalpha3	ISO3digit	WBcode	WBcode2015
Georgia	GEO	268	GEO	GEO
Germany	DEU	276	DEU	DEU
Ghana	GHA	288	GHA	GHA
Gibraltar	GIB	292	GIB	GIB
Greece	GRC	300	GRC	GRC
Greenland	GRL	304	GRL	GRL
Grenada	GRD	308	GRD	GRD
Guadeloupe	GLP	312	GLP	GLP
Guam	GUM	316	GUM	GUM
Guatemala	GTM	320	GTM	GTM
Guernsey	GGY	831	GGY	GGY
Guinea	GIN	324	GIN	GIN
Guinea-Bissau	GNB	624	GNB	GNB
Guyana	GUY	328	GUY	GUY
Haiti	HTI	332	HTI	HTI
Heard Island and McDonald Islands	HMD	334	HMD	HMD
Holy See	VAT	336	VAT	VAT
Honduras	HND	340	HND	HND
Hong Kong	HKG	344	HKG	HKG
Hungary	HUN	348	HUN	HUN
Iceland	ISL	352	ISL	ISL
India	IND	356	IND	IND
Indonesia	IDN	360	IDN	IDN
Iran (Islamic Republic of)	IRN	364	IRN	IRN
Iraq	IRQ	368	IRQ	IRQ
Ireland	IRL	372	IRL	IRL
Isle of Man	IMN	833	IMN	IMY
Israel	ISR	376	ISR	ISR
Italy	ITA	380	ITA	ITA
Jamaica	JAM	388	JAM	JAM
Japan	JPN	392	JPN	JPN
Jersey	JEY	832	JEY	JEY
Jordan	JOR	400	JOR	JOR
Kazakhstan	KAZ	398	KAZ	KAZ
Kenya	KEN	404	KEN	KEN
Kiribati	KIR	296	KIR	KIR
Korea (Democratic People's Republic of)	PRK	408	PRK	PRK
Korea (Republic of)	KOR	410	KOR	KOR
Kosovo	XKO	994	XKX	KSV
Kuwait	KWT	414	KWT	KWT
Kyrgyzstan	KGZ	417	KGZ	KGZ
Lao People's Democratic Republic	LAO	418	LAO	LAO
Latvia	LVA	428	LVA	LVA
Lebanon	LBN	422	LBN	LBN
Lesotho	LSO	426	LSO	LSO
Liberia	LBR	430	LBR	LBR
Libya	LBY	434	LBY	LBY
Liechtenstein	LIE	438	LIE	LIE
Lithuania	LTU	440	LTU	LTU
Luxembourg	LUX	442	LUX	LUX
Macao	MAC	446	MAC	MAC
Macedonia (the former Yugoslav Republic of)	MKD	807	MKD	MKD
Madagascar	MDG	450	MDG	MDG
Malawi	MWI	454	MWI	MWI
Malaysia	MYS	458	MYS	MYS
Maldives	MDV	462	MDV	MDV
Mali	MLI	466	MLI	MLI
Malta	MLT	470	MLT	MLT
Marshall Islands	MHL	584	MHL	MHL
Martinique	MTQ	474	MTQ	MTQ
Mauritania	MRT	478	MRT	MRT
Mauritius	MUS	480	MUS	MUS
Mayotte	MYT	175	MYT	MYT
Mexico	MEX	484	MEX	MEX
Micronesia (Federated States of)	FSM	583	FSM	FSM
Moldova (Republic of)	MDA	498	MDA	MDA
Monaco	MCO	492	MCO	MCO
Mongolia	MNG	496	MNG	MNG
Montenegro	MNE	499	MNE	MNE
Montserrat	MSR	500	MSR	MSR
Morocco	MAR	504	MAR	MAR
Mozambique	MOZ	508	MOZ	MOZ
Myanmar	MMR	104	MMR	MMR
Namibia	NAM	516	NAM	NAM
Nauru	NRU	520	NRU	NRU
Nepal	NPL	524	NPL	NPL
Netherlands	NLD	528	NLD	NLD
Netherlands Antilles	ANT	530	ANT	ANT
New Caledonia	NCL	540	NCL	NCL
New Zealand	NZL	554	NZL	NZL
Nicaragua	NIC	558	NIC	NIC
Niger	NER	562	NER	NER
Nigeria	NGA	566	NGA	NGA
Niue	NIU	570	NIU	NIU
Norfolk Island	NFK	574	NFK	NFK
Northern Cyprus	XNC	996	XNC	XNC
Northern Mariana Islands	MNP	580	MNP	MNP
Norway	NOR	578	NOR	NOR
Oman	OMN	512	OMN	OMN
Pakistan	PAK	586	PAK	PAK
Palau	PLW	585	PLW	PLW
"Palestine, State of"	PSE	275	PSE	WBG
Panama	PAN	591	PAN	PAN
Papua New Guinea	PNG	598	PNG	PNG
Paracel Islands	PIS	998	PIS	PIS
Paraguay	PRY	600	PRY	PRY
Peru	PER	604	PER	PER
Philippines	PHL	608	PHL	PHL
Pitcairn	PCN	612	PCN	PCN
Poland	POL	616	POL	POL
Portugal	PRT	620	PRT	PRT
Puerto Rico	PRI	630	PRI	PRI
Qatar	QAT	634	QAT	QAT
R_union	REU	638	REU	REU
Romania	ROU	642	ROU	ROM
Russian Federation	RUS	643	RUS	RUS
Rwanda	RWA	646	RWA	RWA
Saint Barth_lemy	BLM	652	BLM	BLM
"Saint Helena, Ascension and Tristan da Cunha"	SHN	654	SHN	SHN
Saint Kitts and Nevis	KNA	659	KNA	KNA
Saint Lucia	LCA	662	LCA	LCA
Saint Martin (French part)	MAF	663	MAF	MAF
Saint Pierre and Miquelon	SPM	666	SPM	SPM
Saint Vincent and the Grenadines	VCT	670	VCT	VCT
Samoa	WSM	882	WSM	WSM
San Marino	SMR	674	SMR	SMR
Sao Tome and Principe	STP	678	STP	STP
Saudi Arabia	SAU	682	SAU	SAU
Senegal	SEN	686	SEN	SEN
Serbia	SRB	688	SRB	SRB
Seychelles	SYC	690	SYC	SYC
Sierra Leone	SLE	694	SLE	SLE
Singapore	SGP	702	SGP	SGP
Sint Maarten (Dutch part)	SXM	534	SXM	SXM
Slovakia	SVK	703	SVK	SVK
Slovenia	SVN	705	SVN	SVN
Solomon Islands	SLB	90	SLB	SLB
Somalia	SOM	706	SOM	SOM
South Africa	ZAF	710	ZAF	ZAF
South Georgia and the South Sandwich Islands	SGS	239	SGS	SGS
South Sudan	SSD	728	SSD	SSD
Spain	ESP	724	ESP	ESP
Spratly Islands	XSP	999	XSP	XSP
Sri Lanka	LKA	144	LKA	LKA
Sudan	SDN	729	SDN	SDN
Suriname	SUR	740	SUR	SUR
Svalbard and Jan Mayen	SJM	744	SJM	SJM
Swaziland	SWZ	748	SWZ	SWZ
Sweden	SWE	752	SWE	SWE
Switzerland	CHE	756	CHE	CHE
Syrian Arab Republic	SYR	760	SYR	SYR
"Taiwan, Province of China"	TWN	158	TWN	TWN
Tajikistan	TJK	762	TJK	TJK
"Tanzania, United Republic of"	TZA	834	TZA	TZA
Thailand	THA	764	THA	THA
Timor-Leste	TLS	626	TLS	TMP
Togo	TGO	768	TGO	TGO
Tokelau	TKL	772	TKL	TKL
Tonga	TON	776	TON	TON
Trinidad and Tobago	TTO	780	TTO	TTO
Tunisia	TUN	788	TUN	TUN
Turkey	TUR	792	TUR	TUR
Turkmenistan	TKM	795	TKM	TKM
Turks and Caicos Islands	TCA	796	TCA	TCA
Tuvalu	TUV	798	TUV	TUV
Uganda	UGA	800	UGA	UGA
Ukraine	UKR	804	UKR	UKR
United Arab Emirates	ARE	784	ARE	ARE
United Kingdom of Great Britain and Northern Ireland	GBR	826	GBR	GBR
United States of America	USA	840	USA	USA
United States Minor Outlying Islands	UMI	581	UMI	UMI
Uruguay	URY	858	URY	URY
Uzbekistan	UZB	860	UZB	UZB
Vanuatu	VUT	548	VUT	VUT
Venezuela (Bolivarian Republic of)	VEN	862	VEN	VEN
Viet Nam	VNM	704	VNM	VNM
Virgin Islands (British)	VGB	92	VGB	VGB
Virgin Islands (U.S.)	VIR	850	VIR	VIR
Wallis and Futuna	WLF	876	WLF	WLF
Western Sahara	ESH	732	ESH	ESH
Yemen	YEM	887	YEM	YEM
Zambia	ZMB	894	ZMB	ZMB
Zimbabwe	ZWE	716	ZWE	ZWE
